ProductName,Stars,Ratings,Reviews,Current_Price,MRP,Proccessor,Ram,Storage,,,,,,,,,
DELL Ryzen 3 Quad Core 5425U,4.4,41,2,41490,56834,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021,,,,,,,,,
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.4,373,39,64990,93690,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.4,1412,240,42990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Infinix INBook X2 Plus Core i3 11th Gen,4.1,77,12,37990,44990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD,,,,,,,,,
ASUS VivoBook Flip 14 Core i5 11th Gen,4.8,20,1,63990,82990,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
ASUS Chromebook Flip Touch Celeron Dual Core,4,1741,274,15990,31990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 inch) Touchscreen Display,,,,,,,,,
MSI Core i7 12th Gen,0,0,0,68490,83990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Ryzen 5 Hexa Core,4.6,20,4,54990,72994,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Pentium Silver,4.1,328,32,32000,44319,Processor: Intel PQC-N5030 (1.10 GHz up to 3.10 GHz),RAM & Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021,,,,,,,,,
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,4.5,618,92,65990,88990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i3 12th Gen,3.8,10,4,61390,78145,Processor: Intel i3-1215U (0.9 GHz up to 4.40 GHz), 6 Cores, 10MB CPU Cache, 1x8GB, DDR4, 3200MHz, 512GB SSD,Graphics: Integrated, Keyboard: Backlit Keyboard + Fingerprint Reader,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/4/d/z/inspiron-7420-thin-and-light-laptop-dell-original-imagg45kbtghzthr.jpeg?q=70,,
